Match ID,Date,Stage,Team 1,Team 2,Acting Team,Jersey,Player,Action,Clock,Period,TimeRemain,Type,Made,Points
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,None,,,Game start,0-0,1,0.0,Other,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,None,,,Period start,0-0,1,0.0,Other,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,None,,,Possession arrow - start period,0-0,1,0.0,Other,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Indian Railways,15,Palpreet Singh,"15, Palpreet Singh , jump ball - won",P1 09:57:00,1,0.0,Other,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Tamil Nadu,19,Pranav Prince,"19, Pranav Prince , jump ball - lost",P1 09:57:00,1,0.0,Other,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Indian Railways,5,Sahil Kalyan,"5, Sahil Kalyan , 2pt pull up jump shot",P1 09:45:00,1,0.0,2PT,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Tamil Nadu,13,P. Jeevanantham,"13, P. Jeevanantham , Defensive rebound",P1 09:35:00,1,0.0,REB,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Tamil Nadu,19,Pranav Prince,"19, Pranav Prince , 2pt dunk  made",P1 09:34:00 2-0,1,0.0,2PT,True,2
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Tamil Nadu,7,H. Muin Bek,"7, H. Muin Bek , Assist",P1 09:34:00,1,0.0,AST,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Indian Railways,14,Manik .,"14, Manik . , 2pt driving layup  made",P1 09:22:00 2-2,1,0.0,2PT,True,2
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Tamil Nadu,7,H. Muin Bek,"7, H. Muin Bek , 2pt fade away",P1 09:00:00,1,0.0,2PT,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Indian Railways,15,Palpreet Singh,"15, Palpreet Singh , Defensive rebound",P1 08:56:00,1,0.0,REB,False,0
2391613,"Dec 10, 2023, 4:00 PM","73rd Senior National Championship, Ludhiana - Men",Tamil Nadu,Indian Railways,Indian Railways,5,Sahil Kalyan,"5, Sahil Kalyan , 3pt jump shot",P1 08:48:00,1,0.0,3PT,False,0
