averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Amit .","2","4.3","0","0","1","0","0","1","0","0","0","0","1.5","0","1","0","0","1","1","0","0","1","0","0","1","0.5","-4","0","0"
"Aryan .","6","8.9","2.3","0.8","2.7","31.3","0.8","2.7","31.3","0","0","0","3.2","37.6","1","0.7","1.5","1.7","3.2","0","0.2","0.7","0","0.2","1.5","1","18","31.3","2,080.7"
"Deepak .","5","14","5.4","2.2","4.6","47.8","1.6","2.6","61.5","0.6","2","30","5","53.6","1","0.4","1","2.8","3.8","1.8","2","1.4","128.6","0.4","1.2","0.8","45","54.3","658.9"
"Deepak .","2","10.9","2.5","1","4","25","0.5","2","25","0.5","2","25","4","31.3","0","0","0","1","1","0","0.5","1.5","0","0","1","0","-1","31.3","0"
"Jaibir .","4","11.8","1","0.3","1.8","14.3","0","0.3","0","0.3","1.5","16.7","2","25.4","0.5","0.3","0.3","1.3","1.5","1.5","0.8","1.5","100","0","2","0.3","6","21.4","30.3"
"Lokeshwaran .","7","17.9","6.1","2.3","5.1","44.4","1.6","2.7","57.9","0.7","2.4","29.4","5.7","54.4","1.1","0.9","1","2.4","3.4","3.4","1.4","1.1","300","1","1.4","1.3","78","51.4","0"
"Mahaveer .","7","33.4","13","5.3","14.1","37.4","3.4","8.6","40","1.9","5.6","33.3","14.7","44","1.4","0.6","0.9","3.1","4","3.7","1.7","3","123.8","0.3","1.9","1.6","70","43.9","594.1"
"Manik .","7","29.4","13.1","4.1","9.1","45.3","3.3","6","54.8","0.9","3.1","27.3","11.1","58.9","4.6","4","1.9","4.9","6.7","2.7","1.1","4.1","65.5","0.3","1.9","3.1","100","50","396.8"
"Mohit .","4","4.8","0","0","1.8","0","0","1.8","0","0","0","0","1.8","0","0","0","0.5","1.3","1.8","0.3","0","1","25","0","0.3","0","-3","0","0"
"Priyanshu .","3","5.4","1.3","0.7","1.7","40","0.7","1","66.7","0","0.7","0","1.7","40","0","0","0.7","0.3","1","0.3","0.7","0.7","50","0","0.3","0","5","40","0"
"Rachit .","7","27.8","6.6","2.4","6","40.5","0.9","1.9","46.2","1.6","4.1","37.9","6.1","53.6","0.3","0.1","0.9","4.1","5","1.7","0.6","1.4","120","0.1","2.7","0.3","62","53.6","7.2"
"Rahul .","3","11.2","4","1.3","5.7","23.5","0.7","2.7","25","0.7","3","22.2","6","33.6","0.7","0.7","0.3","1.7","2","2","1.7","2","100","0","0.7","1.3","10","29.4","-152.2"
"Rajan .","7","16.5","5.3","2.4","6.4","37.8","2.3","3.6","64","0.1","2.9","5","6.6","40.3","0.3","0.3","1.4","2.1","3.6","2.3","1","1.6","145.5","0","0.6","0.3","46","38.9","21.9"
"Sahil .","7","28.8","19.3","7.6","13","58.2","5.4","8","67.9","2.1","5","42.9","14.4","67","3.1","2","2.1","4.3","6.4","2.6","1.3","2","128.6","0.4","1.6","2.6","150","66.5","3,949.3"
"Sahil .","6","30.5","15.5","5.8","11.8","49.3","3.2","4.8","65.5","2.7","7","38.1","12.5","62.4","1.3","1.2","0.8","3.8","4.7","6.8","2.8","3.2","215.8","0.2","1.7","4","124","60.6","-144.5"
"Sonkumar .","5","4.5","2.4","1","1.8","55.6","0.8","1","80","0.2","0.8","25","2","60.7","0.4","0.2","0.6","0.2","0.8","0.2","0.2","0.2","100","0","0.4","0.2","12","61.1","109.8"
"Sunil .","5","13.8","5.6","1.8","4.2","42.9","0.4","2.2","18.2","1.4","2","70","4.4","62.7","0.6","0.6","1.2","0.6","1.8","1.2","0.6","1","120","0","0.2","0.4","29","59.5","-170.5"
"Sunny .","2","6.8","0","0","0.5","0","0","0","0","0","0.5","0","0.5","0","0","0","0.5","0","0.5","1","0","1","100","0","0.5","0","0","0","0"
"Vikrat .","2","33.7","19","6.5","20","32.5","2.5","8","31.3","4","12","33.3","21.5","44.1","3.5","2","2","4.5","6.5","3","2","5","60","0.5","2.5","2.5","22","42.5","102.2"
"Sugeethnath A,","5","14.8","4.2","1.8","5.2","34.6","1.6","3.8","42.1","0.2","1.4","14.3","5.6","37.8","0.8","0.4","0.6","2.2","2.8","2","1","2.6","76.9","0","1","1","18","36.5","37.4"
"Billa Nathan Abraham","4","33.9","17.5","7.3","18","40.3","5.5","12.3","44.9","1.8","5.8","30.4","19","46.1","2.3","1.3","0.8","3.8","4.5","2.3","1.5","2.8","81.8","0","2","3","45","45.1","126.5"
"Abbas Ali","5","14.5","3","1","4.6","21.7","0.8","2.4","33.3","0.2","2.2","9.1","5","30.3","0.8","0.8","0.4","1.4","1.8","1","1","1.4","71.4","0","1","0.6","9","23.9","0"
