Averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Jyoti .","4","31.9","15.8","6","14.3","42.1","3.5","7.3","48.3","2.5","7","35.7","15","52.8","1.5","1.3","0.5","2.5","3","1.3","2.5","4.3","29.4","0.3","1.3","1.5","40","50.9","111.9"
"Kajal .","4","8.4","1.8","0.8","2","37.5","0.5","0.8","66.7","0.3","1.3","20","2.3","39.4","0.5","0","0.3","0.3","0.5","0","0","0.8","0","0","0.3","0.3","-1","43.8","56.3"
"Manisha .","4","8.7","3.8","1.5","3.3","46.2","0.8","1.5","50","0.8","1.8","42.9","3.3","57.7","0","0","0.3","1","1.3","0.5","0.8","1","50","0","1","0","14","57.7","0"
"Namarta .","4","19.4","5","1.8","3.5","50","1.3","2.3","55.6","0.5","1.3","40","4.3","60.1","1.5","1","1.5","3.5","5","2.3","0.5","1","225","0.8","2","1.3","41","57.1","-22.5"
"Nandani .","1","10","0","0","3","0","0","3","0","0","0","0","3","0","0","0","0","1","1","0","0","1","0","0","0","0","-3","0","0"
"Nitika .","7","19.8","7.9","2.6","6.9","37.5","0.4","1","42.9","2.1","5.9","36.6","7.1","55.3","0.6","0.6","1","1.3","2.3","1.6","1.4","1.4","110","0","1.9","1","52","53.1","57.6"
"Sapna .","7","23.5","3.4","1.3","5.6","23.1","1","3.6","28","0.3","2","14.3","6.1","27.9","1.3","0.6","0.7","2.1","2.9","2.1","1.3","3","71.4","0","1.4","1.1","12","25.6","-10.8"
"Sobana .","6","22.3","5.7","2.3","5.5","42.4","2.3","4.5","51.9","0","1","0","6.2","46.5","1.3","1","1.8","3.3","5.2","1.7","1","1.7","100","0.8","1.8","0.8","55","42.4","39.8"
"Vidya .","5","10.9","1.8","0.8","2.8","28.6","0.8","2.2","36.4","0","0.6","0","3","30.2","0.4","0.2","1","2.2","3.2","1","0.8","0.6","166.7","0","0.8","0.6","20","28.6","-513.3"
"Ashmitha A.","5","9.8","3.2","1.4","4.2","33.3","1","1.6","62.5","0.4","2.6","15.4","4.2","38.1","0","0","0.6","0.6","1.2","0.6","1","0.6","100","0","0.4","0","13","38.1","0"
"Moni Adla","8","34.1","7.3","3.4","8.3","40.9","3.4","7.8","43.5","0","0.5","0","8.6","42","0.9","0.5","2.4","4.3","6.6","1.6","1.4","1.8","92.9","1.4","2.9","1","90","40.9","0"
"Khushi Ahlawat","7","21","1.7","0.7","2.6","27.8","0.7","2.6","27.8","0","0","0","3.1","27.9","1.1","0.3","0.7","2.6","3.3","0.7","0.6","2","35.7","0.4","2.1","1.6","14","27.8","172.5"
"Gulabsha Ali","7","21.6","6.3","2","7.1","28","1.1","2.1","53.3","0.9","5","17.1","7.9","39.8","1.7","1.4","0.6","2.4","3","7.9","2.1","1.9","423.1","0","1.4","1.1","84","34","1,881.8"
"Ruksar Ali","5","4","3.2","1.4","3.8","36.8","1","1.8","55.6","0.4","2","20","3.8","42.1","0","0","0","0.2","0.2","0.2","0","0.2","100","0","0.2","0.2","5","42.1","0"
